km,detour_m,kind,name,hours,lat,lon,osm
0.2,31,fuel,Paljassaare Tankla,24/7,59.4599008,24.7023388,node/771604219
1.11,102,fuel,Circle K,24/7,59.4536931,24.7055583,way/798045124
1.11,780,restaurant,Poseidon,NA,59.4515722,24.7168815,node/4491621282
1.11,793,restaurant,Gourmet Club,Mo-Sa 10:00-20:00; Su 11:00-18:00,59.4519041,24.7173107,node/4491621284
1.11,834,supermarket,Arsenali Selver,08:00-22:00,59.4515431,24.7178703,node/4486148445
1.11,858,supermarket,Bio4You,Mo-Sa 10:00-20:00; Su 10:00-19:00,59.4514471,24.7182496,node/4492242904
1.11,874,restaurant,Sushi Art,Mo-Su 11:00-21:00,59.4514524,24.7185497,node/6601172887
1.11,877,fast_food,Hesburger,Mo-Su 10:00-21:00,59.4515899,24.7187002,node/4489702921
1.11,1059,fuel,Alexela,24/7,59.4510521,24.7217337,way/873283142
1.11,1388,cafe,Staapli 3 Art Gallery and Cafe,Mo-Th 10:00-20:00; Fr-Su 09:00-20:00,59.4514017,24.7278889,node/6601154095
1.11,1407,cafe,Robert's Coffee,"Mo-Fr 09:00-18:00; Sa,Su 09:00-19:00",59.4516141,24.7283029,node/9760504080
1.11,1409,fast_food,Patarei Burger,"We,Th 11:00-20:00; Fr 11:00-22:00; Sa 12:00-22:00; Su 12:00-20:00",59.4519135,24.7284238,node/6601154089
1.12,91,supermarket,Rimi Super,Mo-Su 08:00-22:00,59.4534018,24.7052417,node/771622697
1.12,767,bakery,Kalamaja Pagarikoda,Mo-Fr 08:00-20:00; Sa-Su 09:00-20:00,59.4513612,24.7165188,node/4611970299
1.12,775,restaurant,Ginger,Mo-Su 11:00-22:00,59.4514522,24.7167235,node/4489702922
1.12,778,restaurant,Green Bakery,NA,59.4515325,24.7168254,node/4492280196
1.12,788,fast_food,Kebabi Wabrik,NA,59.451322,24.7168855,node/4491621281
1.12,791,restaurant,Port Desina,NA,59.4513935,24.716974,node/4491621283
1.12,1210,cafe,Paper Mill Coffee Volta,NA,59.4497654,24.7237105,node/11476627590
1.12,1332,restaurant,Vernalia kohvik,Mo-Fr 09:00-17:00,59.449368,24.7257126,node/1751498005
1.13,546,bakery,NA,NA,59.4514853,24.7124012,node/4242488865
1.13,644,cafe,NA,NA,59.4508522,24.7137079,node/1746769947
1.13,1132,restaurant,Rosé,"Tu-Th 18:00-22:00; Fr,Sa 17:00-23:00; Su 16:00-21:00",59.4486996,24.7212383,node/13373614998
