deg,km
0,2.8642
1,2.7649
2,4.0505
3,2.4129
4,2.4205
5,2.0374
6,2.2717
7,2.1009
8,2.3757
9,1.0465
10,1.6436
11,2.0108
12,1.5553
13,3.1806
14,1.7049
15,2.9367
16,2.103
17,2.4387
18,1.7327
19,0.7842
20,2.6573
21,3.0858
22,2.5271
23,2.3679
24,2.0142
25,1.5681
26,1.2514
27,1.5779
28,1.9813
29,1.9556
30,2.2192
31,2.8279
32,2.1968
33,2.3751
34,2.0067
35,1.4722
36,1.4664
37,4.7595
38,1.3528
39,3.0666
40,3.2425
41,1.1813
42,1.3364
43,1.6052
44,1.9547
45,1.6244
46,1.8767
47,1.0711
48,2.2061
49,3.7561
50,1.994
51,2.9154
52,3.0653
53,2.3666
54,3.6711
55,1.6268
56,2.1819
57,1.7659
58,2.0302
59,1.8379
60,2.9808
61,3.4271
62,2.0521
63,6.3104
64,4.6359
65,2.1772
66,2.2146
67,2.1373
68,3.2208
69,2.6758
70,2.1437
71,1.8034
72,1.6594
73,1.8913
74,2.0061
75,8.2691
76,2.2631
77,2.5371
78,2.0919
79,1.8105
80,1.715
81,2.5671
82,2.017
83,2.4713
84,3.0075
85,3.9632
86,2.8349
87,2.2742
88,2.5823
89,3.3852
90,5.3179
91,3.4297
92,2.9342
93,2.2174
94,2.3143
95,6.4739
96,2.8643
97,2.8579
98,2.8426
99,2.9239
100,2.6581
101,4.175
102,2.7189
103,3.1344
104,2.8667
105,3.2713
106,2.6892
107,3.5169
108,3.5024
109,2.9178
110,3.4704
111,2.691
112,2.2913
113,3.6886
114,3.0372
115,3.1722
116,3.799
117,4.0859
118,4.9519
119,3.6423
120,3.4281
121,3.8866
122,3.339
123,2.8495
124,3.044
125,2.9239
126,2.8736
127,2.2924
128,2.9058
129,3.1145
130,3.0056
131,3.4177
132,4.8026
133,3.9015
134,2.7681
135,2.4185
136,2.3162
137,3.5159
138,2.855
139,2.625
140,1.7343
141,2.2283
142,2.5251
143,3.0614
144,2.7928
145,2.2437
146,2.6432
147,1.69
148,1.8331
149,1.9759
150,1.8917
151,1.6361
152,1.5561
153,2.2681
154,2.1399
155,1.7848
156,3.3094
157,3.0737
158,1.9477
159,2.9841
160,2.3372
161,1.7479
162,1.6854
163,2.1132
164,1.7148
165,2.0989
166,2.3407
167,3.314
168,1.836
169,2.0938
170,1.5863
171,1.64
172,1.3258
173,1.8566
174,1.5851
175,1.8609
176,1.3109
177,1.3553
178,3.0583
179,2.8719
180,2.0103
181,1.7902
182,1.6755
183,2.6603
184,2.166
185,1.9683
186,3.0393
187,2.3719
188,1.1523
189,2.1008
190,2.0364
191,2.3417
192,2.4767
193,1.5714
194,1.4776
195,1.6268
196,1.591
197,1.6799
198,2.3907
199,1.9355
200,1.0883
201,1.3929
202,1.5506
203,1.6342
204,2.2971
205,2.6916
206,2.8206
207,2.891
208,2.9951
209,2.1213
210,2.3884
211,1.9509
212,3.6136
213,3.7023
214,4.0108
215,5.9771
216,3.0662
217,2.8874
218,2.455
219,2.1819
220,2.6032
221,2.2336
222,2.2161
223,1.6797
224,3.1347
225,2.0506
226,1.9459
227,2.6613
228,1.441
229,1.3251
230,2.2001
231,2.7924
232,2.3408
233,2.1789
234,3.0575
235,2.3442
236,3.0102
237,3.2815
238,3.3051
239,1.7312
240,2.1234
241,2.8666
242,1.9462
243,1.5066
244,2.0807
245,2.3773
246,1.7879
247,2.3208
248,2.0111
249,3.8279
250,3.2065
251,3.8234
252,2.4742
253,2.4329
254,2.3269
255,5.3799
256,2.1813
257,1.8032
258,2.5069
259,2.245
260,3.2961
261,3.5929
262,7.8765
263,2.4044
264,2.2577
265,2.7516
266,2.3706
267,2.3778
268,2.6166
269,1.9075
270,3.5286
271,1.7359
272,2.6944
273,2.2734
274,2.8948
275,3.0031
276,1.8429
277,2.4837
278,2.2247
279,3.127
280,2.4733
281,2.3577
282,2.8
283,3.1141
284,2.7325
285,2.7129
286,3.6914
287,3.3099
288,2.9614
289,1.6964
290,2.8877
291,3.2585
292,3.6006
293,2.5228
294,3.6606
295,2.9933
296,3.4264
297,2.0536
298,3.8233
299,2.0457
300,1.9521
301,2.5668
302,4.3619
303,2.4254
304,2.4835
305,2.4437
306,3.1685
307,3.3451
308,3.6323
309,3.2572
310,2.5151
311,3.0042
312,2.6358
313,2.7154
314,2.6521
315,2.7092
316,2.6779
317,3.2653
318,3.3567
319,2.5858
320,2.383
321,2.0333
322,2.0103
323,2.3303
324,2.7898
325,2.7302
326,2.8757
327,2.6592
328,3.5409
329,3.1927
330,2.08
331,2.9862
332,4.0281
333,3.0751
334,2.7351
335,3.0052
336,3.5203
337,4.2108
338,2.924
339,3.165
340,1.9114
341,2.5302
342,2.5341
343,2.9413
344,2.2946
345,2.5551
346,2.8558
347,1.7721
348,1.843
349,2.7005
350,3.2647
351,4.6176
352,2.8402
353,2.4964
354,1.2141
355,2.9816
356,2.8559
357,3.2353
358,1.7736
359,2.9779
