km,klass,surface,highway,tracktype,smoothness,dist_m
0,asfalt,asphalt,service,NA,NA,0
0.2680371249392443,asfalt,asphalt,tertiary,NA,NA,0
0.4885496993512335,asfalt,asphalt,tertiary,NA,NA,0
0.7665483305396716,teadmata,NA,service,NA,NA,0
1.0182207890165584,asfalt,asphalt,tertiary,NA,NA,0
1.2767771850325398,asfalt,asphalt,tertiary,NA,excellent,0
1.4961262704736855,asfalt,asphalt,tertiary,NA,excellent,0
1.7413093369077992,asfalt,asphalt,tertiary,NA,excellent,0
2.003550248085174,asfalt,asphalt,tertiary_link,NA,good,0
2.2529564490092526,asfalt,asphalt,residential,NA,good,0
2.5160949432307325,asfalt,asphalt,residential,NA,good,0
2.7411767173597092,asfalt,asphalt,residential,NA,NA,0
3.0156563332847557,asfalt,asphalt,residential,NA,NA,0
3.213353872184911,asfalt,asphalt,residential,NA,NA,1
3.5189610779429303,asfalt,asphalt,residential,NA,NA,0
3.7507711615970796,asfalt,paved,cycleway,NA,intermediate,0
4.020397238321178,asfalt,paved,cycleway,NA,intermediate,0
4.207400064153379,asfalt,paved,cycleway,NA,intermediate,1
4.495724924385871,asfalt,asphalt,cycleway,NA,NA,0
4.751367121261263,asfalt,asphalt,cycleway,NA,NA,0
5.019117071630707,teadmata,wood,cycleway,NA,NA,1
5.241568458854168,teadmata,wood,cycleway,NA,NA,1
5.510122148994949,asfalt,asphalt,cycleway,NA,excellent,0
5.769099962736416,asfalt,asphalt,cycleway,NA,NA,0
5.984860922137705,asfalt,asphalt,cycleway,NA,NA,0
6.248208672072236,asfalt,asphalt,cycleway,NA,NA,0
6.482877590450149,asfalt,asphalt,cycleway,NA,NA,0
6.746390841862002,teadmata,NA,service,NA,NA,0
7.0123334215126985,asfalt,asphalt,tertiary,NA,intermediate,0
7.2375970397803755,asfalt,asphalt,tertiary,NA,intermediate,0
7.466393119832256,asfalt,asphalt,service,NA,NA,0
7.748690751048181,asfalt,asphalt,unclassified,NA,NA,0
8.004829698419034,asfalt (eeldus),NA,residential,NA,NA,0
8.235644597810351,asfalt (eeldus),NA,residential,NA,NA,0
8.511277302125729,asfalt (eeldus),NA,residential,NA,NA,0
8.729010472210325,asfalt (eeldus),NA,residential,NA,NA,0
8.974786595818903,asfalt,asphalt,tertiary,NA,NA,0
9.269496161018695,asfalt,asphalt,tertiary,NA,NA,0
9.50233620628217,asfalt,asphalt,tertiary,NA,NA,0
9.763780329562172,asfalt,asphalt,tertiary,NA,NA,0
10.009891922767913,asfalt,asphalt,tertiary,NA,NA,0
10.243132397818918,asfalt,asphalt,unclassified,NA,NA,0
10.51356786856375,asfalt,asphalt,unclassified,NA,NA,0
10.747832487429765,asfalt,asphalt,unclassified,NA,NA,0
11.02717859818313,asfalt,asphalt,residential,NA,NA,0
11.219074977963732,asfalt,asphalt,residential,NA,NA,0
11.526680029302163,asfalt (eeldus),NA,residential,NA,NA,1
11.709076572590908,asfalt (eeldus),NA,residential,NA,NA,0
11.981783937569643,asfalt (eeldus),NA,residential,NA,NA,0
12.219277849645275,asfalt (eeldus),NA,residential,NA,NA,0
12.482097663098752,asfalt,asphalt,residential,NA,NA,0
12.76976296620873,asfalt,asphalt,residential,NA,NA,0
12.996630373460517,asfalt,asphalt,residential,NA,NA,0
13.22123498479307,asfalt,asphalt,residential,NA,NA,0
13.499160942388926,asfalt,asphalt,unclassified,NA,NA,0
13.756385843543741,asfalt,asphalt,unclassified,NA,NA,0
14.02559485895706,asfalt,asphalt,residential,NA,NA,0
14.259971014101135,kruus (eeldus),NA,track,NA,NA,0
14.502917952259834,kruus (eeldus),NA,track,grade3,NA,0
14.713776554760761,kruus (eeldus),NA,track,grade3,NA,0
14.98220677522624,kruus (eeldus),NA,track,grade3,NA,0
15.263501064384547,kruus (eeldus),NA,track,grade3,NA,0
15.532960342713654,kruus (eeldus),NA,track,grade3,NA,0
15.712677334374233,kruus (eeldus),NA,track,grade3,NA,0
15.982346267697995,kruus (eeldus),NA,track,grade3,NA,0
16.23922616038274,kruus (eeldus),NA,track,grade3,NA,0
16.49888318637647,teadmata,NA,service,NA,NA,0
16.737106770267026,asfalt,asphalt,unclassified,NA,NA,0
16.980576708103104,asfalt,asphalt,unclassified,NA,NA,0
17.270154547399603,asfalt,asphalt,unclassified,NA,NA,0
17.484336110829485,asfalt,asphalt,unclassified,NA,NA,1
17.74304842338429,teadmata,NA,service,NA,NA,0
17.99651582219348,kruus,gravel,path,NA,NA,0
18.23135124632012,kruus,gravel,path,NA,NA,0
18.513866452142576,kruus,gravel,path,NA,NA,0
18.74177317848731,kruus,gravel,path,NA,NA,0
18.989029251240055,kruus,gravel,path,NA,NA,0
19.24133248811583,kruus,gravel,path,NA,NA,0
19.504799499957205,kruus,gravel,path,NA,NA,1
19.758860467075834,kruus,gravel,path,NA,NA,0
20.00178767033164,kruus,fine_gravel,path,NA,NA,0
20.240641714581905,asfalt (eeldus),NA,residential,NA,NA,0
20.517826074849395,asfalt,asphalt,residential,NA,NA,0
20.741732158952583,asfalt (eeldus),NA,residential,NA,NA,0
20.99885406968878,asfalt (eeldus),NA,residential,NA,NA,0
21.256080070327705,asfalt (eeldus),NA,residential,NA,NA,1
21.515204457137212,kruus,unpaved,service,NA,NA,0
21.782167243679286,asfalt,asphalt,tertiary,NA,NA,0
22.02870761535792,asfalt,asphalt,tertiary,NA,NA,1
22.21965779744693,asfalt,asphalt,tertiary,NA,NA,0
22.481059847457335,asfalt,asphalt,tertiary,NA,NA,0
22.75294236476478,asfalt,asphalt,tertiary,NA,NA,0
22.995978455100598,asfalt,asphalt,tertiary,NA,NA,0
23.257827962185093,asfalt,asphalt,tertiary,NA,NA,0
23.542320658206926,asfalt,asphalt,tertiary,NA,NA,1
23.724238488408254,asfalt,asphalt,tertiary,NA,NA,0
24.01343571104644,asfalt,asphalt,tertiary,NA,NA,0
24.266264719848923,asfalt,asphalt,tertiary,NA,NA,0
24.530109327840766,asfalt,asphalt,path,NA,NA,0
24.757046681953774,asfalt,asphalt,path,NA,NA,0
25.013041313423614,kruus,unpaved,unclassified,NA,NA,0
25.266155315041374,kruus,unpaved,unclassified,NA,NA,0
25.486317984664907,kruus,unpaved,unclassified,NA,NA,0
25.76238671594115,kruus,unpaved,unclassified,NA,NA,0
26.013847519572895,kruus,unpaved,path,NA,NA,0
26.24264115584958,kruus,unpaved,path,NA,NA,0
26.50340295764863,kruus,unpaved,track,grade3,NA,0
26.747927019311568,kruus,unpaved,path,NA,NA,0
27.00664728577931,pinnas,ground,path,NA,NA,1
27.252809770958788,pinnas,ground,path,NA,NA,0
27.533537080254874,pinnas,ground,path,NA,NA,0
27.753753216667043,pinnas,ground,path,NA,NA,0
28.028131413918913,pinnas,dirt,path,NA,NA,0
28.248746817820482,kruus,compacted,service,NA,NA,0
28.521550974398608,kruus,unpaved,unclassified,NA,NA,0
28.74578989738634,kruus,unpaved,unclassified,NA,NA,0
29.02091777432945,kruus,unpaved,residential,NA,NA,0
29.272029181803976,kruus,unpaved,residential,NA,NA,0
29.500607374176127,kruus,unpaved,residential,NA,NA,0
29.76368054703102,asfalt,asphalt,tertiary,NA,NA,0
29.96251479445058,asfalt,asphalt,tertiary,NA,NA,1
30.260772457338433,asfalt,asphalt,tertiary,NA,NA,0
30.494652497376286,asfalt,asphalt,tertiary,NA,NA,0
30.742928232580066,asfalt,asphalt,unclassified,NA,NA,0
30.99214382868472,asfalt,asphalt,unclassified,NA,NA,0
31.241771827275386,asfalt,asphalt,unclassified,NA,NA,1
31.50494938371251,asfalt (eeldus),NA,unclassified,NA,NA,0
31.71204959958178,asfalt (eeldus),NA,unclassified,NA,NA,0
32.024320798487615,asfalt (eeldus),NA,unclassified,NA,NA,0
32.22978756612576,kruus (eeldus),NA,track,grade2,NA,0
32.49038151697208,kruus (eeldus),NA,track,grade2,NA,1
32.73742606176073,kruus (eeldus),NA,track,grade2,NA,0
33.0026754143649,kruus (eeldus),NA,track,grade2,NA,0
33.27623799405595,kruus (eeldus),NA,track,grade2,NA,0
33.48872888018252,kruus (eeldus),NA,track,grade2,NA,0
33.738889069202365,asfalt,asphalt,tertiary,NA,NA,0
33.957319315531095,asfalt,asphalt,tertiary,NA,NA,0
34.23816150156768,asfalt,asphalt,tertiary,NA,NA,0
34.46481487584534,asfalt,asphalt,tertiary,NA,NA,0
34.73924485070201,asfalt (eeldus),NA,residential,NA,NA,0
34.995665691163225,asfalt (eeldus),NA,residential,NA,NA,0
35.26928307020106,asfalt,asphalt,residential,NA,NA,0
35.48459630331656,asfalt,asphalt,residential,NA,NA,0
35.77215764402372,kruus (eeldus),NA,path,NA,NA,0
36.01419601259628,pinnas,sand,path,NA,NA,0
36.232784927693814,pinnas,sand,path,NA,NA,0
36.51583899300391,pinnas,sand,path,NA,NA,0
36.72622691080651,pinnas,sand,path,NA,NA,0
37.01159580793859,pinnas,sand,path,NA,NA,0
37.245721255340875,kruus (eeldus),NA,path,NA,NA,0
37.5018685141418,kruus (eeldus),NA,track,grade4,NA,1
37.72416185896022,teadmata,NA,path,NA,NA,34
38.00178320646215,kruus (eeldus),NA,track,grade4,NA,0
38.25228285992642,asfalt,asphalt,tertiary,NA,NA,0
38.501550860983954,asfalt,asphalt,tertiary,NA,NA,0
38.75462308160611,asfalt,asphalt,tertiary,NA,NA,0
39.01424603272134,asfalt,asphalt,tertiary,NA,NA,0
39.25720554829527,asfalt,asphalt,tertiary,NA,NA,0
39.518684331863035,asfalt (eeldus),NA,residential,NA,NA,0
39.73151254538533,asfalt (eeldus),NA,residential,NA,NA,0
39.99126393850989,asfalt (eeldus),NA,residential,NA,NA,0
40.25088334515,kruus,compacted,unclassified,NA,NA,0
40.50001219032212,kruus,compacted,unclassified,NA,NA,0
40.73839128543474,kruus,compacted,unclassified,NA,NA,0
40.97462994859833,kruus,compacted,residential,NA,NA,0
41.23700460872227,kruus,compacted,unclassified,NA,NA,0
41.511613587439875,kruus,compacted,unclassified,NA,NA,0
41.74451537047385,kruus (eeldus),NA,track,grade4,NA,0
41.99445734420231,kruus,compacted,unclassified,NA,NA,1
42.21562987305465,kruus,gravel,track,NA,NA,0
42.4958999312338,kruus (eeldus),NA,track,grade5,NA,0
42.76358784753152,asfalt,asphalt,unclassified,NA,NA,0
43.037414473885676,asfalt,asphalt,unclassified,NA,NA,1
43.2459801841689,asfalt,asphalt,unclassified,NA,NA,0
43.519199573498994,asfalt,asphalt,unclassified,NA,NA,0
43.74471453641719,asfalt,asphalt,unclassified,NA,NA,1
43.99818772580139,asfalt,asphalt,unclassified,NA,NA,1
44.227032912088426,asfalt,asphalt,tertiary,NA,NA,0
44.462586346890866,asfalt,asphalt,tertiary,NA,NA,0
44.76426658515498,asfalt,asphalt,residential,NA,NA,0
45.01751126540539,asfalt (eeldus),NA,residential,NA,NA,0
45.2541020860761,asfalt,asphalt,unclassified,NA,NA,0
45.4957693278716,kruus (eeldus),NA,track,NA,NA,0
45.74395933113781,kruus (eeldus),NA,track,NA,NA,0
46.004016159529165,kruus (eeldus),NA,track,NA,NA,0
46.249091585711454,kruus (eeldus),NA,track,NA,NA,0
46.49392770416422,kruus (eeldus),NA,track,NA,NA,0
46.74478835175671,kruus (eeldus),NA,track,grade3,NA,0
47.01120097179139,kruus (eeldus),NA,track,grade3,NA,0
47.2484055348048,kruus (eeldus),NA,track,grade3,NA,0
47.51471769425256,kruus,compacted,track,grade3,NA,0
47.716094861190435,kruus,compacted,track,grade3,NA,0
47.96958354917097,kruus,compacted,track,grade3,NA,0
48.25796043846775,kruus,compacted,track,grade3,NA,0
48.5197908976277,kruus,compacted,unclassified,NA,NA,0
48.76996254800528,kruus,compacted,unclassified,NA,NA,0
48.98397031342836,kruus,compacted,unclassified,NA,NA,0
49.25069396487964,kruus,compacted,unclassified,NA,NA,0
49.46404202549938,kruus,compacted,unclassified,NA,NA,0
49.77732805436887,kruus,compacted,unclassified,NA,NA,0
49.96683832012602,kruus,compacted,unclassified,NA,NA,0
50.242150850706736,kruus,compacted,unclassified,NA,NA,0
50.49922978956833,asfalt (eeldus),NA,unclassified,NA,NA,0
50.75850376376076,asfalt (eeldus),NA,unclassified,NA,NA,1
50.981921922959465,asfalt (eeldus),NA,unclassified,NA,NA,0
51.249279494474656,kruus (eeldus),NA,track,NA,NA,0
51.521578114898176,asfalt (eeldus),NA,unclassified,NA,NA,0
51.75979949381374,asfalt (eeldus),NA,unclassified,NA,NA,0
52.0029358290537,asfalt (eeldus),NA,unclassified,NA,NA,0
52.27386667925116,asfalt (eeldus),NA,unclassified,NA,NA,1
52.54466872827826,asfalt (eeldus),NA,unclassified,NA,NA,0
52.72153656892974,asfalt (eeldus),NA,unclassified,NA,NA,0
53.02122442673184,asfalt (eeldus),NA,unclassified,NA,NA,0
53.28042673483471,asfalt (eeldus),NA,unclassified,NA,NA,0
53.4618740853283,asfalt (eeldus),NA,unclassified,NA,NA,1
53.73471601138527,asfalt (eeldus),NA,unclassified,NA,NA,0
53.982739094898676,asfalt (eeldus),NA,unclassified,NA,NA,0
54.21781574852365,asfalt (eeldus),NA,unclassified,NA,NA,0
54.51401989676796,asfalt (eeldus),NA,unclassified,NA,NA,1
54.781317205069826,asfalt (eeldus),NA,unclassified,NA,NA,0
55.02542268734658,asfalt (eeldus),NA,unclassified,NA,NA,1
55.223892456849356,asfalt (eeldus),NA,unclassified,NA,NA,1
55.49679087739685,asfalt (eeldus),NA,unclassified,NA,NA,0
55.76697307103297,asfalt (eeldus),NA,unclassified,NA,NA,0
56.04126045021895,asfalt (eeldus),NA,unclassified,NA,NA,0
56.27572049484498,kruus (eeldus),NA,cycleway,NA,NA,0
56.496758541827326,kruus (eeldus),NA,cycleway,NA,NA,0
56.71665011503187,asfalt,asphalt,tertiary,NA,NA,1
57.03583725862681,asfalt,asphalt,tertiary,NA,NA,0
57.230389423920876,asfalt,asphalt,tertiary,NA,NA,0
57.46597723013694,asfalt,asphalt,tertiary,NA,NA,0
57.77055846370031,asfalt,asphalt,tertiary,NA,NA,0
57.96289623119195,asfalt,asphalt,tertiary,NA,NA,0
58.25140565979553,asfalt,asphalt,cycleway,NA,NA,0
58.48695283922835,asfalt,asphalt,cycleway,NA,NA,0
58.73860161727805,asfalt,asphalt,cycleway,NA,NA,0
58.97855446158159,asfalt,asphalt,cycleway,NA,NA,0
59.2449178174773,asfalt,asphalt,cycleway,NA,NA,0
59.49979030733419,asfalt,asphalt,service,NA,NA,0
59.78510659331821,asfalt,asphalt,cycleway,NA,NA,0
60.03457268008108,asfalt,asphalt,cycleway,NA,NA,0
60.24310065465166,asfalt,asphalt,cycleway,NA,NA,0
60.50062275689245,asfalt,paving_stones,cycleway,NA,NA,0
60.74705738457504,asfalt,asphalt,service,NA,NA,0
60.98381377621702,kruus,fine_gravel,path,NA,NA,0
61.25189465190366,asfalt,asphalt,living_street,NA,NA,0
61.496955530000406,kruus,compacted,footway,NA,NA,0
61.74897231207354,kruus,compacted,footway,NA,NA,0
61.989145551463544,kruus (eeldus),NA,path,NA,NA,0
62.25642241484299,kruus (eeldus),NA,cycleway,NA,NA,0
62.53228762413126,kruus (eeldus),NA,cycleway,NA,NA,1
62.724480112545656,kruus (eeldus),NA,cycleway,NA,NA,1
63.00211032693889,kruus (eeldus),NA,cycleway,NA,NA,0
63.216919180003664,kruus (eeldus),NA,cycleway,NA,NA,0
63.48541710986318,kruus (eeldus),NA,cycleway,NA,NA,0
63.77697730917908,kruus (eeldus),NA,cycleway,NA,NA,0
63.98854111870261,kruus (eeldus),NA,cycleway,NA,NA,1
64.26859642580634,asfalt (eeldus),NA,unclassified,NA,NA,0
64.4974623468639,asfalt (eeldus),NA,unclassified,NA,NA,0
64.74813805765581,asfalt (eeldus),NA,unclassified,NA,NA,0
65.00631486150584,asfalt (eeldus),NA,unclassified,NA,NA,0
65.27314052195827,asfalt (eeldus),NA,unclassified,NA,NA,0
65.54055546779563,teadmata,NA,service,grade1,NA,0
65.7275138700503,asfalt (eeldus),NA,unclassified,NA,NA,0
65.9760828981792,asfalt (eeldus),NA,unclassified,NA,NA,0
66.21910922921988,asfalt (eeldus),NA,unclassified,NA,NA,0
66.50021273157724,asfalt (eeldus),NA,unclassified,NA,NA,1
66.7717614867343,asfalt (eeldus),NA,unclassified,NA,NA,1
67.03961171962575,asfalt (eeldus),NA,unclassified,NA,NA,0
67.24289092453989,asfalt (eeldus),NA,unclassified,NA,NA,0
67.49579037027121,asfalt (eeldus),NA,unclassified,NA,NA,0
67.75002784394273,kruus (eeldus),NA,track,grade5,NA,0
67.99532202324721,kruus (eeldus),NA,track,grade5,NA,0
68.2156518200329,asfalt (eeldus),NA,unclassified,NA,NA,0
68.4993387105706,asfalt (eeldus),NA,unclassified,NA,NA,0
68.787388855771,asfalt (eeldus),NA,unclassified,NA,NA,0
69.01607358227092,asfalt (eeldus),NA,unclassified,NA,NA,0
