deg,km
0,2.2168
1,2.3044
2,4.3164
3,2.2493
4,2.1864
5,1.884
6,1.7061
7,1.9932
8,2.1844
9,1.2851
10,1.4453
11,2.5008
12,1.6188
13,3.205
14,1.4904
15,3.4779
16,2.3604
17,2.1541
18,1.2727
19,0.9695
20,2.1336
21,3.0108
22,2.7525
23,2.1674
24,1.9904
25,1.8466
26,1.3782
27,1.9458
28,2.0535
29,2.2993
30,2.0776
31,2.7303
32,2.5152
33,2.4322
34,2.504
35,1.856
36,1.456
37,4.2713
38,0.8259
39,3.0342
40,3.1604
41,1.5696
42,1.4282
43,1.9448
44,1.87
45,1.5849
46,1.6442
47,1.5374
48,2.1392
49,4.0346
50,2.1297
51,2.75
52,3.6387
53,2.3409
54,3.8097
55,1.5956
56,1.9708
57,1.58
58,2.2075
59,2.0509
60,3.0333
61,3.4897
62,3.509
63,5.7829
64,4.6783
65,2.9854
66,1.898
67,1.8069
68,1.5058
69,2.0428
70,1.9644
71,1.9613
72,1.6415
73,1.7534
74,1.9554
75,8.2649
76,2.2159
77,2.4028
78,2.6706
79,1.5912
80,1.8907
81,1.8096
82,1.7443
83,2.7132
84,2.8787
85,4.0204
86,3.329
87,3.1431
88,2.869
89,3.7395
90,6.6184
91,4.7027
92,3.0504
93,1.9255
94,2.0593
95,5.3986
96,2.1249
97,3.0402
98,2.589
99,2.7686
100,2.424
101,4.9121
102,2.4332
103,2.4823
104,1.9354
105,2.2234
106,3.1914
107,3.8633
108,2.3966
109,2.6207
110,3.4294
111,3.0275
112,2.1314
113,3.1672
114,2.8204
115,2.7496
116,3.493
117,3.4129
118,3.6295
119,2.6898
120,3.1256
121,3.0939
122,2.9964
123,3.5476
124,5.9566
125,2.7095
126,2.2431
127,1.974
128,2.6064
129,2.5788
130,4.5366
131,4.4703
132,8.497
133,4.1942
134,2.9534
135,2.6072
136,2.2226
137,3.2017
138,3.2425
139,3.5148
140,1.973
141,2.2758
142,2.3385
143,2.4302
144,2.0152
145,2.3367
146,2.3767
147,1.4794
148,2.6162
149,2.7986
150,3.1099
151,1.5463
152,1.657
153,2.6638
154,2.5111
155,1.6106
156,3.6173
157,4.0411
158,2.4162
159,3.3704
160,2.9316
161,2.5602
162,2.0881
163,2.3223
164,1.7381
165,2.127
166,2.6816
167,3.7249
168,2.2788
169,2.7368
170,1.9491
171,2.4518
172,1.4796
173,1.6434
174,2.4779
175,1.9792
176,2.0756
177,1.6781
178,3.7238
179,3.8343
180,2.5513
181,2.2598
182,2.0472
183,2.9097
184,1.8624
185,2.2333
186,3.0335
187,2.9713
188,1.5261
189,2.1745
190,2.2262
191,2.2205
192,2.7911
193,1.9178
194,1.8631
195,1.6071
196,1.7542
197,1.6688
198,2.5437
199,2.0487
200,1.4241
201,1.8291
202,2.1535
203,1.7856
204,2.2626
205,2.0594
206,2.9033
207,2.6048
208,2.6941
209,1.9548
210,2.7375
211,2.1009
212,3.6696
213,3.7637
214,3.7025
215,5.1846
216,3.0392
217,2.658
218,3.0421
219,2.127
220,2.1628
221,1.9916
222,2.5564
223,1.7482
224,2.4479
225,1.773
226,1.6714
227,2.7968
228,1.4163
229,1.1447
230,1.6215
231,2.4146
232,2.0863
233,1.9402
234,2.6629
235,2.1502
236,2.6712
237,2.9777
238,3.997
239,1.2806
240,1.9649
241,2.3123
242,1.3818
243,1.6656
244,2.0456
245,2.9406
246,2.8632
247,2.2103
248,1.6608
249,2.9112
250,1.8958
251,3.9698
252,1.8532
253,1.9359
254,1.6248
255,4.8783
256,2.0405
257,2.1814
258,1.8474
259,1.719
260,2.7921
261,3.0183
262,7.9005
263,2.7707
264,1.7506
265,2.4221
266,2.4061
267,1.9572
268,1.9678
269,1.7501
270,3.259
271,1.3109
272,2.7471
273,2.7742
274,3.3222
275,3.4411
276,3.4965
277,1.9578
278,1.906
279,2.3355
280,2.2352
281,2.3193
282,3.8401
283,2.8446
284,3.4221
285,2.0261
286,3.0739
287,4.3088
288,2.9231
289,1.9887
290,3.0084
291,2.0975
292,2.7952
293,2.3611
294,3.5081
295,3.4581
296,3.4316
297,2.1016
298,5.1989
299,2.0275
300,2.9783
301,2.4198
302,3.4623
303,2.6619
304,2.5067
305,2.7206
306,2.384
307,3.0554
308,3.1367
309,2.6488
310,2.8324
311,2.8218
312,2.359
313,2.5855
314,2.5646
315,3.0962
316,3.1208
317,3.4643
318,3.1635
319,2.9333
320,2.658
321,1.7545
322,2.0473
323,5.3536
324,3.0545
325,3.5288
326,2.6773
327,3.0924
328,3.6096
329,2.6526
330,1.9073
331,3.0255
332,3.511
333,3.4825
334,2.8615
335,3.2546
336,3.1628
337,3.9949
338,3.8478
339,3.5257
340,1.751
341,3.2034
342,2.8885
343,2.582
344,2.6599
345,2.5454
346,3.114
347,2.3747
348,2.6823
349,2.6502
350,2.5771
351,3.4072
352,2.7807
353,2.5307
354,2.1999
355,2.633
356,2.7065
357,2.8848
358,2.3536
359,2.9366
